City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Codrington,AU,2022-08-03 05:32:57,-38.2667,141.9667,60.44,62,9,19.8
59,Carnarvon,AU,2022-08-03 05:32:58,-24.8667,113.6333,67.53,61,92,20.98
60,Gumdag,TM,2022-08-03 05:32:58,39.2061,54.5906,97.7,16,3,14.0
61,Bulancak,TR,2022-08-03 05:32:59,40.9372,38.2291,78.62,73,75,10.36
62,East Grinstead,GB,2022-08-03 05:32:59,51.1238,-0.0061,65.26,88,75,5.75
63,Hamilton,US,2022-08-03 05:33:00,39.1834,-84.5333,72.77,92,0,6.91
64,Lasa,IT,2022-08-03 05:33:00,46.6166,10.7002,61.68,71,24,1.01
65,Houlton,US,2022-08-03 05:33:01,46.1262,-67.8403,64.81,82,100,4.61
66,Beloha,MG,2022-08-03 05:33:01,-25.1667,45.05,68.61,57,0,13.85
67,Byron Bay,AU,2022-08-03 05:29:03,-28.65,153.6167,71.94,62,38,10.42
68,Yanam,IN,2022-08-03 05:29:36,16.7333,82.2167,90.46,56,92,5.44
69,Jacareacanga,BR,2022-08-03 05:33:02,-6.2222,-57.7528,72.91,83,28,1.54
70,Marawi,PH,2022-08-03 05:33:03,7.9986,124.2928,76.82,86,71,3.8
71,Payakumbuh,ID,2022-08-03 05:33:03,-0.2202,100.6308,75.51,87,100,2.21
72,Pisco,PE,2022-08-03 05:33:04,-13.7,-76.2167,56.01,88,1,8.05
73,Gaffney,US,2022-08-03 05:33:04,35.0718,-81.6498,74.28,70,91,2.82
74,Colchester,GB,2022-08-03 05:29:18,51.8892,0.9042,66.29,87,25,10.56
75,Faya,SA,2022-08-03 05:33:05,18.3851,42.4509,66.31,53,72,3.71
76,Mutsu,JP,2022-08-03 05:33:06,41.2894,141.2169,68.13,95,100,8.68
77,Cape Town,ZA,2022-08-03 05:33:06,-33.9258,18.4232,57.38,88,40,2.3
78,Oksfjord,NO,2022-08-03 05:33:07,70.2396,22.3479,55.47,79,87,5.19
